ModelName;InteractionSize;T;Algorithm;Time;Time;Configurations;Configurations;ModelIteration;NoResult;OutOfMemory;CorrectlyFoundLiteralsCount;CorrectlyFoundLiteralsCount;MissedLiteralsCount;MissedLiteralsCount
;;;;median;max;median;max;count;sum;sum;median;max;median;max
APL;1;1;Inciident;0.033;0.038;7.0;8.0;100;0;0;8.0;11.0;0.0;0.0
APL;1;1;Random;0.023;0.036;11.0;44.0;100;0;0;8.0;11.0;0.0;0.0
APL;1;1;iident;0.033;0.039;7.0;8.0;100;0;0;8.0;11.0;0.0;0.0
APL;1;2;Inciident;0.0455;0.073;11.0;15.0;100;0;0;8.0;11.0;0.0;0.0
APL;1;2;Random;0.033;0.056;18.0;74.0;100;24;0;9.0;11.0;0.0;0.0
APL;1;2;iident;0.067;0.086;9.0;11.0;100;10;0;8.0;11.0;0.0;0.0
APL;1;3;Inciident;0.046;0.073;13.0;17.0;100;0;0;8.0;11.0;0.0;0.0
APL;1;3;Random;0.033;0.067;13.5;98.0;100;42;0;9.0;11.0;0.0;0.0
APL;1;3;iident;0.1;0.12;10.0;13.0;100;20;0;8.0;11.0;0.0;0.0
APL;2;1;Inciident;0.031;0.041;6.0;8.0;100;53;0;8.0;14.0;1.0;6.0
APL;2;1;Random;0.02;0.037;8.0;44.0;100;58;0;7.0;14.0;1.0;6.0
APL;2;1;iident;0.031;0.038;6.0;8.0;100;53;0;8.0;14.0;1.0;6.0
APL;2;2;Inciident;0.051;0.074;11.0;15.0;100;0;0;9.0;15.0;0.0;0.0
APL;2;2;Random;0.0435;0.056;74.0;74.0;100;0;0;9.0;15.0;0.0;0.0
APL;2;2;iident;0.066;0.088;10.0;11.0;100;0;0;9.0;15.0;0.0;0.0
APL;2;3;Inciident;0.055;0.1;13.0;22.0;100;0;0;9.0;15.0;0.0;0.0
APL;2;3;Random;0.0495;0.093;57.0;98.0;100;12;0;10.0;15.0;0.0;0.0
APL;2;3;iident;0.103;0.139;11.0;16.0;100;3;0;9.0;15.0;0.0;0.0
APL;3;1;Inciident;0.029;0.037;6.0;8.0;100;71;0;8.0;14.0;3.0;8.0
APL;3;1;Random;0.018;0.025;7.0;25.0;100;82;0;7.0;9.0;3.0;8.0
APL;3;1;iident;0.029;0.037;6.0;8.0;100;71;0;8.0;14.0;3.0;8.0
APL;3;2;Inciident;0.056;0.083;11.0;15.0;100;34;0;10.0;16.0;0.0;6.0
APL;3;2;Random;0.033;0.057;20.0;74.0;100;51;0;10.0;16.0;0.0;4.0
