InteractionSize;T;Algorithm;Time;Time;Configurations;Configurations;ModelIteration;NoResult;OutOfMemory;CorrectlyFoundLiteralsCount;CorrectlyFoundLiteralsCount;MissedLiteralsCount;MissedLiteralsCount
;;;median;max;median;max;count;sum;sum;median;max;median;max
1;1;Inciident;0.061;3.552;9.0;354.0;3456;0;0;15.0;890.0;0.0;0.0
1;1;Random;0.034;0.26;14.0;115.0;3456;160;0;14.0;890.0;0.0;0.0
1;1;iident;0.061;3.638;9.0;354.0;3456;0;0;15.0;890.0;0.0;0.0
1;2;Inciident;0.102;18.786;16.0;376.0;3456;0;0;15.0;890.0;0.0;0.0
1;2;Random;0.074;1.937;76.0;227.0;3456;747;0;15.0;890.0;0.0;0.0
1;2;iident;0.148;21.799;14.0;367.0;3456;347;0;15.0;890.0;0.0;0.0
1;3;Inciident;0.106;37.691;18.0;382.0;3456;0;0;15.0;890.0;0.0;0.0
1;3;Random;0.152;697.353;67.0;290.0;3456;1141;13;16.0;890.0;0.0;0.0
1;3;iident;0.282;768.565;15.0;358.0;3456;644;15;16.0;837.0;0.0;0.0
2;1;Inciident;0.059;2.348;8.0;288.0;3456;1458;0;15.0;890.0;1.0;114.0
2;1;Random;0.029;0.261;11.0;119.0;3456;2009;0;15.0;890.0;1.0;136.0
2;1;iident;0.059;2.309;8.0;288.0;3456;1458;0;15.0;890.0;1.0;114.0
2;2;Inciident;0.107;11.637;15.0;332.0;3456;0;0;17.0;891.0;0.0;0.0
2;2;Random;0.065;2.289;52.0;227.0;3456;158;0;17.0;891.0;0.0;0.0
2;2;iident;0.145;19.364;14.0;351.0;3456;0;0;17.0;891.0;0.0;0.0
2;3;Inciident;0.129;46.226;20.0;875.0;3456;0;0;17.0;891.0;0.0;0.0
2;3;Random;0.166;683.192;117.0;290.0;3456;437;13;17.0;891.0;0.0;0.0
2;3;iident;0.298;792.568;17.0;358.0;3456;128;15;18.0;837.0;0.0;0.0
3;1;Inciident;0.057;1.7;8.0;195.0;3456;2101;0;16.0;890.0;2.0;252.0
3;1;Random;0.027;0.237;10.0;119.0;3456;2508;0;16.0;890.0;2.0;138.0
3;1;iident;0.058;1.752;8.0;195.0;3456;2101;0;16.0;890.0;2.0;252.0
3;2;Inciident;0.111;13.755;15.0;289.0;3456;985;0;17.0;891.0;1.0;144.0
3;2;Random;0.055;2.24;32.0;227.0;3456;1665;0;16.0;891.0;0.0;119.0
3;2;iident;0.142;20.708;13.0;287.0;3456;1168;0;17.0;891.0;1.0;185.0
3;3;Inciident;0.144;364.078;21.0;1252.0;3456;0;0;20.0;891.0;0.0;0.0
3;3;Random;0.17;705.35;98.0;290.0;3456;150;13;20.0;891.0;0.0;0.0
3;3;iident;0.3;771.592;18.0;328.0;3456;15;15;20.0;841.0;0.0;0.0
