index;Time;Time;Time;Configurations;Configurations;Configurations;Time_Rel;Time_Rel;Time_Rel;Configurations_Rel;Configurations_Rel;Configurations_Rel
;mean;median;max;mean;median;max;mean;median;max;mean;median;max
('', '');;;;;;;;;;;;
('Inciident', 1);0.11107465277777778;0.061;3.552;12.745949074074074;9.0;354.0;1.0;1.0;1.0;1.0;1.0;1.0
('Inciident', 2);0.24325289351851853;0.1045;18.786;28.20920138888889;15.0;376.0;1.0;1.0;1.0;1.0;1.0;1.0
('Inciident', 3);0.36070953115956006;0.124;364.078;35.163515338606985;19.0;1252.0;1.0;1.0;1.0;1.0;1.0;1.0
('Random', 1);0.04123334356770034;0.033;0.26;24.033773411114524;13.0;115.0;0.637697220128605;0.6176470588235294;1.4782608695652175;2.96070612899346;1.4285714285714286;11.75
('Random', 2);0.0896968656075569;0.054;1.376;65.22627737226277;52.0;216.0;0.7751116299257306;0.7647058823529411;1.585557299843014;4.819146745461369;5.2;17.75
('Random', 3);1.946067335987537;0.083;207.533;103.19300675090878;95.0;287.0;3.958078034718612;1.1199999999999999;205.86916835699796;5.986403940391851;6.4;23.0
('iident', 1);0.1133041087962963;0.061;3.638;12.745949074074074;9.0;354.0;1.0198139871222314;1.012796373422838;1.4489795918367345;1.0;1.0;1.0
('iident', 2);0.314087061668682;0.143;21.799;24.53947141129729;13.0;360.0;1.3609879211155274;1.3302180685358256;4.401260504201681;0.9450670100962649;0.9047619047619048;4.733333333333333
('iident', 3);9.519419395947496;0.3;792.568;31.62750095577928;17.0;358.0;12.740947361251926;2.1724941724941726;596.9478260869565;0.9085671900295949;0.875;5.8
;;;;;;;;;;;;
Inciident;0.27994371563615317;0.102;364.078;29.108565640976174;15.0;1252.0;1.0;1.0;1.0;1.0;1.0;1.0
Random;0.8614180543382998;0.056;207.533;71.44668419515045;55.0;287.0;2.0851242124655154;0.8378378378378378;205.86916835699796;4.869400157651841;5.0;23.0
iident;4.499690673999532;0.14;792.568;25.408963257664404;13.0;360.0;6.515855369447254;1.425;596.9478260869565;0.939420861745433;0.9523809523809523;5.8
